ye,ma,co,zcode,brd,type,brand,model,org,loc,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,pr,princ,eurpr,exppr,avexr,avdexr,avcpr,avppr,avdcpr,avdppr,xexr,tax,pop,ngdp,rgdp,engdp,ergdp,engdpc,ergdpc,inc,qu_tot,s
78,4,18,17,3,BMW 3 (316),BMW,3,2,4,4,0,2,11676,1573.0,66.0,1020,5.0,2.0,435.5,161.0,138.0,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,160.0,13.800000190734863,7239000.0,1.602632761001587,6814.05419921875,2913324.0,2.484790563583374,1062.3631591796875,70.38220977783203,70.28529357910156,28.233333587646484,,427.5463562011719,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.010747719469425702
78,4,21,18,3,BMW 5 (518),BMW,5,2,4,5,0,2,4946,1766.0,66.0,1240,5.0,4.0,462.0,169.0,142.5,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,160.0,13.899999618530273,8620000.0,1.9083704948425293,8113.986328125,3469105.25,2.484790563583374,1062.3631591796875,70.38220977783203,70.28529357910156,28.233333587646484,,427.5463562011719,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.004552776678295609
78,4,26,35,4,citroen 2 CV 6 - 2 CV 4,citroen,2CV6,1,3,1,0,16,6335,435.0,18.0,560,4.0,4.0,383.0,148.0,160.0,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,102.0,,2830000.0,0.6265299916267395,2663.87255859375,509032.0,5.559571743011475,1062.3631591796875,43.20779037475586,,28.233333587646484,,191.0872344970703,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.005831346594622458
78,4,30,26,4,citroen CX,citroen,CX,1,3,4,0,16,6038,1985.0,75.0,1265,5.0,4.0,466.0,173.0,136.0,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,174.0,12.800000190734863,7957000.0,1.7615898847579956,7489.90576171875,1431225.375,5.559571743011475,1062.3631591796875,43.20779037475586,,28.233333587646484,,191.0872344970703,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.0055579590747167175
78,4,34,34,4,citroen LNA/LN,citroen,LNA,1,3,1,0,16,8727,602.0,24.0,705,4.0,3.0,338.0,122.0,137.0,5.900000095367432,5.900000095367432,5.900000095367432,5.900000095367432,120.0,29.299999237060547,3551000.0,0.7861512303352356,3342.548095703125,638718.25,5.559571743011475,1062.3631591796875,43.20779037475586,,28.233333587646484,,191.0872344970703,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.008033174701068697
78,4,36,36,4,citroen dyane,citroen,dyane,1,3,1,0,16,27595,602.0,24.0,600,4.0,5.0,387.0,150.0,154.0,5.699999809265137,5.699999809265137,5.699999809265137,5.699999809265137,120.0,,3017000.0,0.6679297089576721,2839.895263671875,542667.6875,5.559571743011475,1062.3631591796875,43.20779037475586,,28.233333587646484,,191.0872344970703,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.025401106437033423
78,4,37,313,4,citroen G/GS special,citroen,G special,1,3,3,0,16,13818,1130.0,41.0,925,5.0,4.0,412.0,161.0,135.0,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,149.0,17.5,4427000.0,0.9800877571105957,4167.125,796284.375,5.559571743011475,1062.3631591796875,43.20779037475586,,28.233333587646484,,191.0872344970703,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.012719423400867107
78,4,50,70,7,fiat 126,fiat,126,3,5,1,1,4,135142,652.0,18.0,580,4.0,2.0,313.0,137.5,133.5,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,105.0,50.0,2395000.0,0.530225932598114,2254.407958984375,2254.407958984375,1062.3631591796875,1062.3631591796875,28.233333587646484,,28.233333587646484,,1.0,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.12439776503401236
78,4,61,66,7,fiat 127,fiat,127,3,5,1,1,4,226779,903.0,33.0,705,5.0,2.0,364.5,152.5,136.0,6.900000095367432,6.900000095367432,6.900000095367432,6.900000095367432,135.0,19.0,3422000.0,0.7575920820236206,3221.120849609375,3221.120849609375,1062.3631591796875,1062.3631591796875,28.233333587646484,,28.233333587646484,,1.0,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.20874932113368375
78,4,62,61,7,fiat argenta+132,fiat,argenta,3,5,3,1,4,21295,1585.0,72.0,1105,5.0,4.0,439.0,164.0,143.5,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,165.0,11.800000190734863,6803000.0,1.5061073303222656,6403.6484375,6403.6484375,1062.3631591796875,1062.3631591796875,28.233333587646484,,28.233333587646484,,1.0,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.019601977226911642
